India states,Alpha code-1,Alpha code -2
Andhra Pradesh,Andhra Pradesh - AP,Andhra Pradesh - AND
Arunachal Pradesh,Arunachal Pradesh - AR,Arunachal Pradesh - ARU
Assam,Assam - AS,Assam - ASM
Bihar,Bihar - BR,Bihar - BIH
Chhattisgarh,Chhattisgarh - CG,Chhattisgarh - CHH
Goa,Goa - GA,Goa - GOA
Gujarat,Gujarat - GJ,Gujarat - GUJ
Haryana,Haryana - HR,Haryana - HAR
Himachal Pradesh,Himachal Pradesh - HP,Himachal Pradesh - HIM
Jharkhand,Jharkhand - JH,Jharkhand - JHA
Karnataka,Karnataka - KA,Karnataka - KAR
Kerala,Kerala - KL,Kerala - KER
Madhya Pradesh,Madhya Pradesh - MP,Madhya Pradesh - MAD
Maharashtra,Maharashtra - MH,Maharashtra - MAH
Manipur,Manipur - MN,Manipur - MNP
Meghalaya,Meghalaya - ML,Meghalaya - MEG
Mizoram,Mizoram - MZ,Mizoram - MIZ
Nagaland,Nagaland - NL,Nagaland - NAG
Odisha,Odisha - OD,Odisha - ORI
Punjab,Punjab - PB,Punjab - PUN
Rajasthan,Rajasthan - RJ,Rajasthan - RAJ
Sikkim,Sikkim - SK,Sikkim - SIK
Tamil Nadu,Tamil Nadu - TN,Tamil Nadu - TN
Telangana,Telangana - TG,Telangana - TEL
Tripura,Tripura - TR,Tripura - TRP
Uttar Pradesh,Uttar Pradesh - UP,Uttar Pradesh - UTT
Uttarakhand,Uttarakhand - UK,Uttarakhand - UTR
West Bengal,West Bengal - WB,West Bengal - WB
,,
,,
,,
,,
